shape: (102, 6)
┌──────────┬──────────┬───────────────┬───────────┬────────────────────────┬─────────────────────┐
│ Sensor 1 ┆ Sensor 2 ┆ Paired Points ┆ DC Offset ┆ Tracking Variation STD ┆ Pearson Correlation │
│ ---      ┆ ---      ┆ ---           ┆ ---       ┆ ---                    ┆ ---                 │
│ str      ┆ str      ┆ i64           ┆ f64       ┆ f64                    ┆ f64                 │
╞══════════╪══════════╪═══════════════╪═══════════╪════════════════════════╪═════════════════════╡
│ 0A       ┆ 0B       ┆ 28271         ┆ -8.93     ┆ 9.62                   ┆ 0.994               │
│ 0A       ┆ 10A      ┆ 28272         ┆ 24.06     ┆ 9.07                   ┆ 0.995               │
│ 0A       ┆ 10B      ┆ 28273         ┆ 18.24     ┆ 14.16                  ┆ 0.988               │
│ 0A       ┆ 20A      ┆ 28273         ┆ -46.83    ┆ 10.53                  ┆ 0.993               │
│ 0A       ┆ 20B      ┆ 28272         ┆ 12.13     ┆ 13.35                  ┆ 0.989               │
│ 0A       ┆ 20C      ┆ 28270         ┆ 5.48      ┆ 9.03                   ┆ 0.994               │
│ 0A       ┆ 30A      ┆ 28270         ┆ 102.61    ┆ 11.33                  ┆ 0.992               │
│ 0A       ┆ 30B      ┆ 28263         ┆ 61.25     ┆ 9.32                   ┆ 0.994               │
│ 0A       ┆ 40A      ┆ 28270         ┆ 21.4      ┆ 10.03                  ┆ 0.993               │
│ 0A       ┆ 40B      ┆ 28270         ┆ 33.56     ┆ 8.72                   ┆ 0.995               │
│ 0A       ┆ 40C      ┆ 28271         ┆ 11.26     ┆ 8.81                   ┆ 0.996               │
│ 0A       ┆ 40D      ┆ 28273         ┆ -7.85     ┆ 14.3                   ┆ 0.986               │
│ 0A       ┆ 40E      ┆ 28272         ┆ 63.33     ┆ 10.22                  ┆ 0.993               │
│ 0A       ┆ 40F      ┆ 28266         ┆ -10.48    ┆ 12.15                  ┆ 0.989               │
│ 0A       ┆ SP1      ┆ 27009         ┆ 50.82     ┆ 10.34                  ┆ 0.992               │
│ 0A       ┆ SP2      ┆ 28269         ┆ 97.8      ┆ 12.14                  ┆ 0.994               │
│ 0A       ┆ SP3      ┆ 28267         ┆ -24.54    ┆ 14.71                  ┆ 0.993               │
│ 10A      ┆ 0A       ┆ 28272         ┆ -24.06    ┆ 9.07                   ┆ 0.995               │
│ 10A      ┆ 0B       ┆ 28271         ┆ -32.98    ┆ 9.72                   ┆ 0.995               │
│ 10A      ┆ 10B      ┆ 28272         ┆ -5.82     ┆ 14.36                  ┆ 0.984               │
│ 10A      ┆ 20A      ┆ 28272         ┆ -70.89    ┆ 9.22                   ┆ 0.997               │
│ 10A      ┆ 20B      ┆ 28272         ┆ -11.93    ┆ 11.53                  ┆ 0.99                │
│ 10A      ┆ 20C      ┆ 28270         ┆ -18.58    ┆ 12.23                  ┆ 0.99                │
│ 10A      ┆ 30A      ┆ 28270         ┆ 78.55     ┆ 11.98                  ┆ 0.989               │
│ 10A      ┆ 30B      ┆ 28263         ┆ 37.2      ┆ 10.98                  ┆ 0.991               │
│ 10A      ┆ 40A      ┆ 28270         ┆ -2.66     ┆ 10.16                  ┆ 0.993               │
