Read data/baseline2_CO2_data_2026-05-23_1714.csv

Cross-comparing from sensors ['0A', '0B', '10A', '10B', '20A', '20B', '20C', '30A', '30B', '40A', '40B', '40C', '40D', '40E', '40F', 'SP1', 'SP2', 'SP3']
shape: (102, 6)
┌──────────┬──────────┬───────────────┬───────────┬────────────────────────┬─────────────────────┐
│ Sensor 1 ┆ Sensor 2 ┆ Paired Points ┆ DC Offset ┆ Tracking Variation STD ┆ Pearson Correlation │
│ ---      ┆ ---      ┆ ---           ┆ ---       ┆ ---                    ┆ ---                 │
│ str      ┆ str      ┆ i64           ┆ f64       ┆ f64                    ┆ f64                 │
╞══════════╪══════════╪═══════════════╪═══════════╪════════════════════════╪═════════════════════╡
│ 0A       ┆ 0B       ┆ 41096         ┆ -10.25    ┆ 10.16                  ┆ 0.993               │
│ 0A       ┆ 10A      ┆ 41101         ┆ 22.32     ┆ 9.0                    ┆ 0.994               │
│ 0A       ┆ 10B      ┆ 41101         ┆ 18.37     ┆ 12.64                  ┆ 0.989               │
│ 0A       ┆ 20A      ┆ 41101         ┆ -46.09    ┆ 10.14                  ┆ 0.993               │
│ 0A       ┆ 20B      ┆ 41100         ┆ 13.5      ┆ 12.09                  ┆ 0.991               │
│ 0A       ┆ 20C      ┆ 41096         ┆ 6.38      ┆ 11.23                  ┆ 0.99                │
│ 0A       ┆ 30A      ┆ 41096         ┆ 100.81    ┆ 11.77                  ┆ 0.99                │
│ 0A       ┆ 30B      ┆ 41096         ┆ 60.33     ┆ 10.8                   ┆ 0.991               │
│ 0A       ┆ 40A      ┆ 41098         ┆ 19.65     ┆ 11.02                  ┆ 0.991               │
│ 0A       ┆ 40B      ┆ 41097         ┆ 33.92     ┆ 8.93                   ┆ 0.994               │
│ 0A       ┆ 40C      ┆ 41098         ┆ 10.72     ┆ 11.42                  ┆ 0.992               │
│ 0A       ┆ 40D      ┆ 41101         ┆ -11.37    ┆ 14.74                  ┆ 0.984               │
│ 0A       ┆ 40E      ┆ 41101         ┆ 62.38     ┆ 10.12                  ┆ 0.992               │
│ 0A       ┆ 40F      ┆ 41101         ┆ -13.49    ┆ 13.09                  ┆ 0.987               │
│ 0A       ┆ SP1      ┆ 39921         ┆ 50.7      ┆ 10.1                   ┆ 0.992               │
│ 0A       ┆ SP2      ┆ 41101         ┆ 98.73     ┆ 11.88                  ┆ 0.994               │
│ 0A       ┆ SP3      ┆ 41099         ┆ -22.31    ┆ 13.63                  ┆ 0.994               │
│ 10A      ┆ 0A       ┆ 41101         ┆ -22.32    ┆ 9.0                    ┆ 0.994               │
│ 10A      ┆ 0B       ┆ 41096         ┆ -32.57    ┆ 10.22                  ┆ 0.995               │
│ 10A      ┆ 10B      ┆ 41102         ┆ -3.95     ┆ 13.82                  ┆ 0.984               │
│ 10A      ┆ 20A      ┆ 41102         ┆ -68.4     ┆ 9.76                   ┆ 0.996               │
│ 10A      ┆ 20B      ┆ 41100         ┆ -8.82     ┆ 12.11                  ┆ 0.988               │
│ 10A      ┆ 20C      ┆ 41096         ┆ -15.94    ┆ 14.99                  ┆ 0.983               │
│ 10A      ┆ 30A      ┆ 41096         ┆ 78.49     ┆ 12.76                  ┆ 0.986               │
